No.,Nama Sungai,Lokasi/ Koordinat,Periode/ Tanggal,TSS,DO,BOD,COD,Fosfat,Fecal Coli,Total-Coliform,TSS.1,DO.1,BOD.1,COD.1,Fosfat.1,Fecal Coli.1,Total-Coliform.1,TSS.2,DO.2,BOD.2,COD.2,Fosfat.2,Fecal Coli.2,Total-Coliform.2,TSS.3,DO.3,BOD.3,COD.3,Fosfat.3,Fecal Coli.3,Total-Coliform.3,(Ci/Lij)R,(Ci/Lij)M,(Ci/Lij)R2,(Ci/Lij)M2,Pij,Status Mutu Air
35,Cisangkan Tengah,E 108´31.818´ S 06´52.867´,2019-11-05,35.0,1.0,98.0,204.0,0.6,30760000,64880000.0,50,4,3,25,0.2,1000,5000,0.7,0.5,32.666666666666664,8.16,2.9999999999999996,30760.0,,0.22549020007128406,0.5,8.570524104864162,5.558450793769306,2.9999999999999996,30760.0,0.0,4396.836352156958,30760.0,19332169.907648906,946177600.0,21971.683707759505,berat
36,Cisangkan Hilir,"E 107° 32' 006""  S 6° 55' 092"" ",2019-11-05,33.0,1.0,48.0,118.0,0.63,780000,61310000.0,50,4,3,25,0.2,1000,5000,0.66,0.5,16.0,4.72,3.15,780.0,,0.09771967770934342,0.5,7.020599913279624,4.369709993170439,3.15,780.0,0.0,113.59114708345135,780.0,12902.948695734278,608400.0,557.3611704701603,berat
37,Cibabat Hulu,E 107´33.694´ S 06´53.373´,2019-11-07,211.0,3.97,47.0,126.0,0.16,5480000,27550000.0,50,4,3,25,0.2,1000,5000,4.22,0.2525,15.666666666666666,5.04,0.7999999999999999,5480.0,,4.12656225480837,0.2525,6.974883016080275,4.512152682227627,0.7999999999999999,5480.0,0.0,785.2380139933023,5480.0,616598.7386201456,30030400.0,3914.5241561791486,berat
38,Cibabat Tengah,E 107´32.892´ S 06´54.016´,2019-11-04,35.0,1.03,59.0,151.0,0.48,12033000,92080000.0,50,4,3,25,0.2,1000,5000,0.7,0.4975,19.666666666666668,6.04,2.4,12033.0,,0.22549020007128406,0.4975,7.4686537846124095,4.905184693105659,2.4,12033.0,0.0,1721.2138326682557,12033.0,2962577.057768546,144793089.0,8595.221522967531,berat
39,Cibabat Hilir,"E 107° 33' 008""  S 06° 55' 502"" ",2019-11-06,36.0,1.3,61.0,200.0,0.3,21870000,36540000.0,50,4,3,25,0.2,1000,5000,0.72,0.47500000000000003,20.333333333333332,8.0,1.4999999999999998,21870.0,,0.28666248215634216,0.47500000000000003,7.541042901455523,5.515449934959718,1.4999999999999998,21870.0,0.0,3126.474022188367,21870.0,9774839.811418707,478296900.0,15621.647477321634,berat
40,Cibaligo Hulu,E 107´33.329´ S 06´53.876´,2019-11-06,22.0,1.0,26.0,61.0,0.4,11199000,27550000.0,50,4,3,25,0.2,1000,5000,0.44,0.5,8.666666666666666,2.44,2.0,11199.0,,-0.7827366175690629,0.5,5.689260466255777,2.9369491316936474,2.0,11199.0,0.0,1601.3347818543402,11199.0,2564273.0835764874,125417601.0,7999.433545057315,berat
41,Cibaligo Tengah,E 107´33.108' S 06´54.523´,2019-11-06,30.0,1.29,18.0,100.0,0.3,4366500,36730000.0,50,4,3,25,0.2,1000,5000,0.6,0.47583333333333333,6.0,4.0,1.4999999999999998,4366.5,,-0.10924374808178205,0.47583333333333333,4.890756251918218,4.0102999566398125,1.4999999999999998,4366.5,0.0,625.3239493991157,4366.5,391030.0416921078,19066322.25,3119.082580799369,berat
42,Cibaligo Hilir,"E 107° 32' 630"" S 06° 55' 270"" ",2019-11-06,26.0,1.0,78.0,192.0,1.0,12010000,111990000.0,50,4,3,25,0.2,1000,5000,0.52,0.5,26.0,7.68,5.0,12010.0,,-0.4199832818260041,0.5,8.074866739854091,5.42680610015756,5.0,12010.0,0.0,1718.3688127940263,12010.0,2952791.3767831516,144240100.0,8578.837082518328,berat
43,Cibeureum Hulu,"E 107° 34' 130"" S 06° 54' 622""",2019-11-04,98.0,6.19,22.0,50.0,0.22,3076000,17220000.0,50,4,3,25,0.2,1000,5000,1.96,0.06749999999999996,7.333333333333333,2.0,1.0999999999999999,3076.0,,2.46128035678238,0.06749999999999996,5.326507130512719,2.5051499783199063,1.0999999999999999,3076.0,0.0,441.06577678080214,3076.0,194539.0194472524,9461776.0,2197.3068765476582,berat
44,Cibeureum Tengah,E 107´33.923´ S 06´55.164´,2019-11-04,72.0,5.53,39.0,92.0,0.16,5475000,22470000.0,50,4,3,25,0.2,1000,5000,1.44,0.12249999999999998,13.0,3.68,0.7999999999999999,5475.0,,1.7918124604762482,0.12249999999999998,6.569716761534184,3.829239093367588,0.7999999999999999,5475.0,0.0,784.0161811879112,5475.0,614681.3723644756,29975625.0,3910.901837962983,berat
